Equation,Steps,Solution
1(x^2) + -1x + 5 = 0,"Given equation: 1(x^2) + -1x + 5 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*1*5 = -19
Since the discriminant is negative, the equation has complex roots.","[1/2 - sqrt(19)*I/2, 1/2 + sqrt(19)*I/2]"
-2(x^2) + 4x + -5 = 0,"Given equation: -2(x^2) + 4x + -5 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-2*-5 = -24
Since the discriminant is negative, the equation has complex roots.","[1 - sqrt(6)*I/2, 1 + sqrt(6)*I/2]"
4(x^2) + 3x + -4 = 0,"Given equation: 4(x^2) + 3x + -4 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*4*-4 = 73
Since the discriminant is positive, the equation has two real roots.
The roots are x = -3/8 + sqrt(73)/8 and x = -sqrt(73)/8 - 3/8","[-3/8 + sqrt(73)/8, -sqrt(73)/8 - 3/8]"
1(x^2) + 3x + 5 = 0,"Given equation: 1(x^2) + 3x + 5 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*1*5 = -11
Since the discriminant is negative, the equation has complex roots.","[-3/2 - sqrt(11)*I/2, -3/2 + sqrt(11)*I/2]"
-4(x^2) + -4x + 3 = 0,"Given equation: -4(x^2) + -4x + 3 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-4*3 = 64
Since the discriminant is positive, the equation has two real roots.
The roots are x = -3/2 and x = 1/2","[-3/2, 1/2]"
4(x^2) + -5x + 3 = 0,"Given equation: 4(x^2) + -5x + 3 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*4*3 = -23
Since the discriminant is negative, the equation has complex roots.","[5/8 - sqrt(23)*I/8, 5/8 + sqrt(23)*I/8]"
-3(x^2) + 5x + -3 = 0,"Given equation: -3(x^2) + 5x + -3 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-3*-3 = -11
Since the discriminant is negative, the equation has complex roots.","[5/6 - sqrt(11)*I/6, 5/6 + sqrt(11)*I/6]"
-1(x^2) + -4x + 5 = 0,"Given equation: -1(x^2) + -4x + 5 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-1*5 = 36
Since the discriminant is positive, the equation has two real roots.
The roots are x = -5 and x = 1","[-5, 1]"
-2(x^2) + 3x + 2 = 0,"Given equation: -2(x^2) + 3x + 2 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-2*2 = 25
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/2 and x = 2","[-1/2, 2]"
4(x^2) + 3x + -4 = 0,"Given equation: 4(x^2) + 3x + -4 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*4*-4 = 73
Since the discriminant is positive, the equation has two real roots.
The roots are x = -3/8 + sqrt(73)/8 and x = -sqrt(73)/8 - 3/8","[-3/8 + sqrt(73)/8, -sqrt(73)/8 - 3/8]"
-4(x^2) + 4x + -1 = 0,"Given equation: -4(x^2) + 4x + -1 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-4*-1 = 0
Since the discriminant is zero, the equation has one real root.
The root is x = 1/2",[1/2]
2(x^2) + -3x + -2 = 0,"Given equation: 2(x^2) + -3x + -2 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*2*-2 = 25
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/2 and x = 2","[-1/2, 2]"
-5(x^2) + -4x + 4 = 0,"Given equation: -5(x^2) + -4x + 4 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-5*4 = 96
Since the discriminant is positive, the equation has two real roots.
The roots are x = -2/5 + 2*sqrt(6)/5 and x = -2*sqrt(6)/5 - 2/5","[-2/5 + 2*sqrt(6)/5, -2*sqrt(6)/5 - 2/5]"
-5(x^2) + -1x + -1 = 0,"Given equation: -5(x^2) + -1x + -1 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-5*-1 = -19
Since the discriminant is negative, the equation has complex roots.","[-1/10 - sqrt(19)*I/10, -1/10 + sqrt(19)*I/10]"
3(x^2) + 1x + -2 = 0,"Given equation: 3(x^2) + 1x + -2 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*3*-2 = 25
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1 and x = 2/3","[-1, 2/3]"
3(x^2) + -3x + -5 = 0,"Given equation: 3(x^2) + -3x + -5 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*3*-5 = 69
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1/2 - sqrt(69)/6 and x = 1/2 + sqrt(69)/6","[1/2 - sqrt(69)/6, 1/2 + sqrt(69)/6]"
3(x^2) + -2x + -3 = 0,"Given equation: 3(x^2) + -2x + -3 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*3*-3 = 40
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1/3 - sqrt(10)/3 and x = 1/3 + sqrt(10)/3","[1/3 - sqrt(10)/3, 1/3 + sqrt(10)/3]"
-4(x^2) + -5x + 5 = 0,"Given equation: -4(x^2) + -5x + 5 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-4*5 = 105
Since the discriminant is positive, the equation has two real roots.
The roots are x = -5/8 + sqrt(105)/8 and x = -sqrt(105)/8 - 5/8","[-5/8 + sqrt(105)/8, -sqrt(105)/8 - 5/8]"
-5(x^2) + -3x + 5 = 0,"Given equation: -5(x^2) + -3x + 5 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-5*5 = 109
Since the discriminant is positive, the equation has two real roots.
The roots are x = -3/10 + sqrt(109)/10 and x = -sqrt(109)/10 - 3/10","[-3/10 + sqrt(109)/10, -sqrt(109)/10 - 3/10]"
1(x^2) + -5x + 4 = 0,"Given equation: 1(x^2) + -5x + 4 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*1*4 = 9
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1 and x = 4","[1, 4]"
2(x^2) + -3x + 4 = 0,"Given equation: 2(x^2) + -3x + 4 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*2*4 = -23
Since the discriminant is negative, the equation has complex roots.","[3/4 - sqrt(23)*I/4, 3/4 + sqrt(23)*I/4]"
5(x^2) + 4x + 3 = 0,"Given equation: 5(x^2) + 4x + 3 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*5*3 = -44
Since the discriminant is negative, the equation has complex roots.","[-2/5 - sqrt(11)*I/5, -2/5 + sqrt(11)*I/5]"
-4(x^2) + -3x + -5 = 0,"Given equation: -4(x^2) + -3x + -5 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-4*-5 = -71
Since the discriminant is negative, the equation has complex roots.","[-3/8 - sqrt(71)*I/8, -3/8 + sqrt(71)*I/8]"
-4(x^2) + 4x + 3 = 0,"Given equation: -4(x^2) + 4x + 3 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-4*3 = 64
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/2 and x = 3/2","[-1/2, 3/2]"
5(x^2) + -5x + -1 = 0,"Given equation: 5(x^2) + -5x + -1 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*5*-1 = 45
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1/2 - 3*sqrt(5)/10 and x = 1/2 + 3*sqrt(5)/10","[1/2 - 3*sqrt(5)/10, 1/2 + 3*sqrt(5)/10]"
-5(x^2) + 3x + 5 = 0,"Given equation: -5(x^2) + 3x + 5 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-5*5 = 109
Since the discriminant is positive, the equation has two real roots.
The roots are x = 3/10 - sqrt(109)/10 and x = 3/10 + sqrt(109)/10","[3/10 - sqrt(109)/10, 3/10 + sqrt(109)/10]"
4(x^2) + 3x + 5 = 0,"Given equation: 4(x^2) + 3x + 5 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*4*5 = -71
Since the discriminant is negative, the equation has complex roots.","[-3/8 - sqrt(71)*I/8, -3/8 + sqrt(71)*I/8]"
3(x^2) + -5x + 3 = 0,"Given equation: 3(x^2) + -5x + 3 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*3*3 = -11
Since the discriminant is negative, the equation has complex roots.","[5/6 - sqrt(11)*I/6, 5/6 + sqrt(11)*I/6]"
4(x^2) + -3x + -5 = 0,"Given equation: 4(x^2) + -3x + -5 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*4*-5 = 89
Since the discriminant is positive, the equation has two real roots.
The roots are x = 3/8 - sqrt(89)/8 and x = 3/8 + sqrt(89)/8","[3/8 - sqrt(89)/8, 3/8 + sqrt(89)/8]"
-4(x^2) + -5x + -2 = 0,"Given equation: -4(x^2) + -5x + -2 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-4*-2 = -7
Since the discriminant is negative, the equation has complex roots.","[-5/8 - sqrt(7)*I/8, -5/8 + sqrt(7)*I/8]"
4(x^2) + -5x + 3 = 0,"Given equation: 4(x^2) + -5x + 3 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*4*3 = -23
Since the discriminant is negative, the equation has complex roots.","[5/8 - sqrt(23)*I/8, 5/8 + sqrt(23)*I/8]"
-2(x^2) + -1x + -2 = 0,"Given equation: -2(x^2) + -1x + -2 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-2*-2 = -15
Since the discriminant is negative, the equation has complex roots.","[-1/4 - sqrt(15)*I/4, -1/4 + sqrt(15)*I/4]"
4(x^2) + 2x + 3 = 0,"Given equation: 4(x^2) + 2x + 3 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*4*3 = -44
Since the discriminant is negative, the equation has complex roots.","[-1/4 - sqrt(11)*I/4, -1/4 + sqrt(11)*I/4]"
-1(x^2) + 4x + -1 = 0,"Given equation: -1(x^2) + 4x + -1 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-1*-1 = 12
Since the discriminant is positive, the equation has two real roots.
The roots are x = 2 - sqrt(3) and x = sqrt(3) + 2","[2 - sqrt(3), sqrt(3) + 2]"
-5(x^2) + -3x + 2 = 0,"Given equation: -5(x^2) + -3x + 2 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-5*2 = 49
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1 and x = 2/5","[-1, 2/5]"
-1(x^2) + -2x + -4 = 0,"Given equation: -1(x^2) + -2x + -4 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*-1*-4 = -12
Since the discriminant is negative, the equation has complex roots.","[-1 - sqrt(3)*I, -1 + sqrt(3)*I]"
4(x^2) + 2x + 2 = 0,"Given equation: 4(x^2) + 2x + 2 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*4*2 = -28
Since the discriminant is negative, the equation has complex roots.","[-1/4 - sqrt(7)*I/4, -1/4 + sqrt(7)*I/4]"
-1(x^2) + -5x + -3 = 0,"Given equation: -1(x^2) + -5x + -3 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-1*-3 = 13
Since the discriminant is positive, the equation has two real roots.
The roots are x = -5/2 - sqrt(13)/2 and x = -5/2 + sqrt(13)/2","[-5/2 - sqrt(13)/2, -5/2 + sqrt(13)/2]"
-3(x^2) + -5x + 2 = 0,"Given equation: -3(x^2) + -5x + 2 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-3*2 = 49
Since the discriminant is positive, the equation has two real roots.
The roots are x = -2 and x = 1/3","[-2, 1/3]"
2(x^2) + -4x + -2 = 0,"Given equation: 2(x^2) + -4x + -2 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*2*-2 = 32
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1 - sqrt(2) and x = 1 + sqrt(2)","[1 - sqrt(2), 1 + sqrt(2)]"
-5(x^2) + -5x + 5 = 0,"Given equation: -5(x^2) + -5x + 5 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-5*5 = 125
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/2 + sqrt(5)/2 and x = -sqrt(5)/2 - 1/2","[-1/2 + sqrt(5)/2, -sqrt(5)/2 - 1/2]"
-3(x^2) + -2x + 2 = 0,"Given equation: -3(x^2) + -2x + 2 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*-3*2 = 28
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/3 + sqrt(7)/3 and x = -sqrt(7)/3 - 1/3","[-1/3 + sqrt(7)/3, -sqrt(7)/3 - 1/3]"
-3(x^2) + 3x + -1 = 0,"Given equation: -3(x^2) + 3x + -1 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-3*-1 = -3
Since the discriminant is negative, the equation has complex roots.","[1/2 - sqrt(3)*I/6, 1/2 + sqrt(3)*I/6]"
2(x^2) + -2x + 2 = 0,"Given equation: 2(x^2) + -2x + 2 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*2*2 = -12
Since the discriminant is negative, the equation has complex roots.","[1/2 - sqrt(3)*I/2, 1/2 + sqrt(3)*I/2]"
1(x^2) + -3x + 2 = 0,"Given equation: 1(x^2) + -3x + 2 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*1*2 = 1
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1 and x = 2","[1, 2]"
3(x^2) + -4x + -5 = 0,"Given equation: 3(x^2) + -4x + -5 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*3*-5 = 76
Since the discriminant is positive, the equation has two real roots.
The roots are x = 2/3 - sqrt(19)/3 and x = 2/3 + sqrt(19)/3","[2/3 - sqrt(19)/3, 2/3 + sqrt(19)/3]"
-1(x^2) + 1x + -4 = 0,"Given equation: -1(x^2) + 1x + -4 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-1*-4 = -15
Since the discriminant is negative, the equation has complex roots.","[1/2 - sqrt(15)*I/2, 1/2 + sqrt(15)*I/2]"
3(x^2) + 1x + -3 = 0,"Given equation: 3(x^2) + 1x + -3 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*3*-3 = 37
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/6 + sqrt(37)/6 and x = -sqrt(37)/6 - 1/6","[-1/6 + sqrt(37)/6, -sqrt(37)/6 - 1/6]"
4(x^2) + 2x + 1 = 0,"Given equation: 4(x^2) + 2x + 1 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*4*1 = -12
Since the discriminant is negative, the equation has complex roots.","[-1/4 - sqrt(3)*I/4, -1/4 + sqrt(3)*I/4]"
-1(x^2) + 4x + 4 = 0,"Given equation: -1(x^2) + 4x + 4 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-1*4 = 32
Since the discriminant is positive, the equation has two real roots.
The roots are x = 2 - 2*sqrt(2) and x = 2 + 2*sqrt(2)","[2 - 2*sqrt(2), 2 + 2*sqrt(2)]"
-4(x^2) + 1x + 4 = 0,"Given equation: -4(x^2) + 1x + 4 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-4*4 = 65
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1/8 - sqrt(65)/8 and x = 1/8 + sqrt(65)/8","[1/8 - sqrt(65)/8, 1/8 + sqrt(65)/8]"
-2(x^2) + -2x + -1 = 0,"Given equation: -2(x^2) + -2x + -1 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*-2*-1 = -4
Since the discriminant is negative, the equation has complex roots.","[-1/2 - I/2, -1/2 + I/2]"
5(x^2) + -3x + 3 = 0,"Given equation: 5(x^2) + -3x + 3 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*5*3 = -51
Since the discriminant is negative, the equation has complex roots.","[3/10 - sqrt(51)*I/10, 3/10 + sqrt(51)*I/10]"
-4(x^2) + -1x + 3 = 0,"Given equation: -4(x^2) + -1x + 3 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-4*3 = 49
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1 and x = 3/4","[-1, 3/4]"
-5(x^2) + 1x + 2 = 0,"Given equation: -5(x^2) + 1x + 2 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-5*2 = 41
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1/10 - sqrt(41)/10 and x = 1/10 + sqrt(41)/10","[1/10 - sqrt(41)/10, 1/10 + sqrt(41)/10]"
-3(x^2) + 5x + 1 = 0,"Given equation: -3(x^2) + 5x + 1 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-3*1 = 37
Since the discriminant is positive, the equation has two real roots.
The roots are x = 5/6 - sqrt(37)/6 and x = 5/6 + sqrt(37)/6","[5/6 - sqrt(37)/6, 5/6 + sqrt(37)/6]"
-1(x^2) + -4x + -2 = 0,"Given equation: -1(x^2) + -4x + -2 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-1*-2 = 8
Since the discriminant is positive, the equation has two real roots.
The roots are x = -2 - sqrt(2) and x = -2 + sqrt(2)","[-2 - sqrt(2), -2 + sqrt(2)]"
-5(x^2) + -2x + -2 = 0,"Given equation: -5(x^2) + -2x + -2 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*-5*-2 = -36
Since the discriminant is negative, the equation has complex roots.","[-1/5 - 3*I/5, -1/5 + 3*I/5]"
-2(x^2) + 2x + 1 = 0,"Given equation: -2(x^2) + 2x + 1 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*-2*1 = 12
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1/2 - sqrt(3)/2 and x = 1/2 + sqrt(3)/2","[1/2 - sqrt(3)/2, 1/2 + sqrt(3)/2]"
-4(x^2) + -2x + 3 = 0,"Given equation: -4(x^2) + -2x + 3 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*-4*3 = 52
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/4 + sqrt(13)/4 and x = -sqrt(13)/4 - 1/4","[-1/4 + sqrt(13)/4, -sqrt(13)/4 - 1/4]"
1(x^2) + 4x + 5 = 0,"Given equation: 1(x^2) + 4x + 5 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*1*5 = -4
Since the discriminant is negative, the equation has complex roots.","[-2 - I, -2 + I]"
4(x^2) + -3x + 4 = 0,"Given equation: 4(x^2) + -3x + 4 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*4*4 = -55
Since the discriminant is negative, the equation has complex roots.","[3/8 - sqrt(55)*I/8, 3/8 + sqrt(55)*I/8]"
5(x^2) + -1x + -5 = 0,"Given equation: 5(x^2) + -1x + -5 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*5*-5 = 101
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1/10 - sqrt(101)/10 and x = 1/10 + sqrt(101)/10","[1/10 - sqrt(101)/10, 1/10 + sqrt(101)/10]"
2(x^2) + 5x + -5 = 0,"Given equation: 2(x^2) + 5x + -5 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*2*-5 = 65
Since the discriminant is positive, the equation has two real roots.
The roots are x = -5/4 + sqrt(65)/4 and x = -sqrt(65)/4 - 5/4","[-5/4 + sqrt(65)/4, -sqrt(65)/4 - 5/4]"
3(x^2) + 4x + -2 = 0,"Given equation: 3(x^2) + 4x + -2 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*3*-2 = 40
Since the discriminant is positive, the equation has two real roots.
The roots are x = -2/3 + sqrt(10)/3 and x = -sqrt(10)/3 - 2/3","[-2/3 + sqrt(10)/3, -sqrt(10)/3 - 2/3]"
-1(x^2) + 2x + -3 = 0,"Given equation: -1(x^2) + 2x + -3 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*-1*-3 = -8
Since the discriminant is negative, the equation has complex roots.","[1 - sqrt(2)*I, 1 + sqrt(2)*I]"
-3(x^2) + 2x + 5 = 0,"Given equation: -3(x^2) + 2x + 5 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*-3*5 = 64
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1 and x = 5/3","[-1, 5/3]"
-1(x^2) + -5x + -5 = 0,"Given equation: -1(x^2) + -5x + -5 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-1*-5 = 5
Since the discriminant is positive, the equation has two real roots.
The roots are x = -5/2 - sqrt(5)/2 and x = -5/2 + sqrt(5)/2","[-5/2 - sqrt(5)/2, -5/2 + sqrt(5)/2]"
-2(x^2) + -4x + 2 = 0,"Given equation: -2(x^2) + -4x + 2 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-2*2 = 32
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1 + sqrt(2) and x = -sqrt(2) - 1","[-1 + sqrt(2), -sqrt(2) - 1]"
5(x^2) + 2x + -3 = 0,"Given equation: 5(x^2) + 2x + -3 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*5*-3 = 64
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1 and x = 3/5","[-1, 3/5]"
-1(x^2) + 2x + 4 = 0,"Given equation: -1(x^2) + 2x + 4 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*-1*4 = 20
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1 - sqrt(5) and x = 1 + sqrt(5)","[1 - sqrt(5), 1 + sqrt(5)]"
5(x^2) + 4x + -1 = 0,"Given equation: 5(x^2) + 4x + -1 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*5*-1 = 36
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1 and x = 1/5","[-1, 1/5]"
-5(x^2) + 4x + -3 = 0,"Given equation: -5(x^2) + 4x + -3 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-5*-3 = -44
Since the discriminant is negative, the equation has complex roots.","[2/5 - sqrt(11)*I/5, 2/5 + sqrt(11)*I/5]"
3(x^2) + -4x + 4 = 0,"Given equation: 3(x^2) + -4x + 4 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*3*4 = -32
Since the discriminant is negative, the equation has complex roots.","[2/3 - 2*sqrt(2)*I/3, 2/3 + 2*sqrt(2)*I/3]"
1(x^2) + -3x + 3 = 0,"Given equation: 1(x^2) + -3x + 3 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*1*3 = -3
Since the discriminant is negative, the equation has complex roots.","[3/2 - sqrt(3)*I/2, 3/2 + sqrt(3)*I/2]"
4(x^2) + -4x + -1 = 0,"Given equation: 4(x^2) + -4x + -1 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*4*-1 = 32
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1/2 - sqrt(2)/2 and x = 1/2 + sqrt(2)/2","[1/2 - sqrt(2)/2, 1/2 + sqrt(2)/2]"
4(x^2) + 5x + 3 = 0,"Given equation: 4(x^2) + 5x + 3 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*4*3 = -23
Since the discriminant is negative, the equation has complex roots.","[-5/8 - sqrt(23)*I/8, -5/8 + sqrt(23)*I/8]"
4(x^2) + -4x + 2 = 0,"Given equation: 4(x^2) + -4x + 2 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*4*2 = -16
Since the discriminant is negative, the equation has complex roots.","[1/2 - I/2, 1/2 + I/2]"
5(x^2) + 5x + -3 = 0,"Given equation: 5(x^2) + 5x + -3 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*5*-3 = 85
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/2 + sqrt(85)/10 and x = -sqrt(85)/10 - 1/2","[-1/2 + sqrt(85)/10, -sqrt(85)/10 - 1/2]"
1(x^2) + 5x + 1 = 0,"Given equation: 1(x^2) + 5x + 1 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*1*1 = 21
Since the discriminant is positive, the equation has two real roots.
The roots are x = -5/2 - sqrt(21)/2 and x = -5/2 + sqrt(21)/2","[-5/2 - sqrt(21)/2, -5/2 + sqrt(21)/2]"
-5(x^2) + -3x + -3 = 0,"Given equation: -5(x^2) + -3x + -3 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-5*-3 = -51
Since the discriminant is negative, the equation has complex roots.","[-3/10 - sqrt(51)*I/10, -3/10 + sqrt(51)*I/10]"
-1(x^2) + 1x + 2 = 0,"Given equation: -1(x^2) + 1x + 2 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-1*2 = 9
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1 and x = 2","[-1, 2]"
-1(x^2) + 5x + -3 = 0,"Given equation: -1(x^2) + 5x + -3 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-1*-3 = 13
Since the discriminant is positive, the equation has two real roots.
The roots are x = 5/2 - sqrt(13)/2 and x = sqrt(13)/2 + 5/2","[5/2 - sqrt(13)/2, sqrt(13)/2 + 5/2]"
2(x^2) + -4x + -3 = 0,"Given equation: 2(x^2) + -4x + -3 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*2*-3 = 40
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1 - sqrt(10)/2 and x = 1 + sqrt(10)/2","[1 - sqrt(10)/2, 1 + sqrt(10)/2]"
3(x^2) + 3x + -5 = 0,"Given equation: 3(x^2) + 3x + -5 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*3*-5 = 69
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/2 + sqrt(69)/6 and x = -sqrt(69)/6 - 1/2","[-1/2 + sqrt(69)/6, -sqrt(69)/6 - 1/2]"
5(x^2) + 5x + -4 = 0,"Given equation: 5(x^2) + 5x + -4 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*5*-4 = 105
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/2 + sqrt(105)/10 and x = -sqrt(105)/10 - 1/2","[-1/2 + sqrt(105)/10, -sqrt(105)/10 - 1/2]"
3(x^2) + -2x + 3 = 0,"Given equation: 3(x^2) + -2x + 3 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*3*3 = -32
Since the discriminant is negative, the equation has complex roots.","[1/3 - 2*sqrt(2)*I/3, 1/3 + 2*sqrt(2)*I/3]"
-4(x^2) + 4x + 2 = 0,"Given equation: -4(x^2) + 4x + 2 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-4*2 = 48
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1/2 - sqrt(3)/2 and x = 1/2 + sqrt(3)/2","[1/2 - sqrt(3)/2, 1/2 + sqrt(3)/2]"
-4(x^2) + -4x + -5 = 0,"Given equation: -4(x^2) + -4x + -5 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-4*-5 = -64
Since the discriminant is negative, the equation has complex roots.","[-1/2 - I, -1/2 + I]"
-4(x^2) + -3x + -1 = 0,"Given equation: -4(x^2) + -3x + -1 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-4*-1 = -7
Since the discriminant is negative, the equation has complex roots.","[-3/8 - sqrt(7)*I/8, -3/8 + sqrt(7)*I/8]"
-4(x^2) + -2x + 5 = 0,"Given equation: -4(x^2) + -2x + 5 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*-4*5 = 84
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/4 + sqrt(21)/4 and x = -sqrt(21)/4 - 1/4","[-1/4 + sqrt(21)/4, -sqrt(21)/4 - 1/4]"
-5(x^2) + 3x + 3 = 0,"Given equation: -5(x^2) + 3x + 3 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-5*3 = 69
Since the discriminant is positive, the equation has two real roots.
The roots are x = 3/10 - sqrt(69)/10 and x = 3/10 + sqrt(69)/10","[3/10 - sqrt(69)/10, 3/10 + sqrt(69)/10]"
-2(x^2) + 3x + -5 = 0,"Given equation: -2(x^2) + 3x + -5 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-2*-5 = -31
Since the discriminant is negative, the equation has complex roots.","[3/4 - sqrt(31)*I/4, 3/4 + sqrt(31)*I/4]"
